IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.52.165,2083,2083,true,NRT,Asia Pacific,Tokyo,62,4.77
8.222.129.32,2087,2087,true,SIN,Asia Pacific,Singapore,90,4.71
8.222.229.22,8880,8880,false,SIN,Asia Pacific,Singapore,88,4.70
47.245.10.123,2087,2087,true,NRT,Asia Pacific,Tokyo,74,4.69
8.222.155.242,2095,2095,false,SIN,Asia Pacific,Singapore,90,4.67
47.236.144.196,2083,2083,true,SIN,Asia Pacific,Singapore,80,4.66
47.91.3.112,8443,8443,true,NRT,Asia Pacific,Tokyo,72,4.64
47.236.104.98,2086,2086,false,SIN,Asia Pacific,Singapore,81,4.52
8.222.221.197,8080,8080,false,SIN,Asia Pacific,Singapore,79,4.46
8.209.212.5,2053,2053,true,NRT,Asia Pacific,Tokyo,57,4.43
47.91.3.179,8080,8080,false,NRT,Asia Pacific,Tokyo,62,4.40
8.222.140.185,8880,8880,false,SIN,Asia Pacific,Singapore,93,4.38
8.219.82.177,8880,8880,false,SIN,Asia Pacific,Singapore,80,4.32
47.74.5.150,2087,2087,true,NRT,Asia Pacific,Tokyo,65,4.32
47.236.75.113,8443,8443,true,SIN,Asia Pacific,Singapore,85,4.26
47.236.7.246,2095,2095,false,SIN,Asia Pacific,Singapore,77,4.23
8.222.164.44,2052,2052,false,SIN,Asia Pacific,Singapore,91,4.21
47.236.123.133,8880,8880,false,SIN,Asia Pacific,Singapore,86,4.13
47.236.144.156,8880,8880,false,SIN,Asia Pacific,Singapore,83,4.10
8.219.228.157,2082,2082,false,SIN,Asia Pacific,Singapore,88,4.08
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,83,4.06
8.222.137.166,2082,2082,false,SIN,Asia Pacific,Singapore,93,4.04
8.219.228.157,2083,2083,true,SIN,Asia Pacific,Singapore,89,4.02
8.219.121.87,2053,2053,true,SIN,Asia Pacific,Singapore,81,3.88
8.222.136.196,2096,2096,true,SIN,Asia Pacific,Singapore,83,3.78
47.236.121.7,2082,2082,false,SIN,Asia Pacific,Singapore,85,3.78
47.74.5.150,8080,8080,false,NRT,Asia Pacific,Tokyo,64,3.78
47.236.87.206,2053,2053,true,SIN,Asia Pacific,Singapore,96,3.77
8.222.136.196,2052,2052,false,SIN,Asia Pacific,Singapore,85,3.71
47.236.116.26,2086,2086,false,SIN,Asia Pacific,Singapore,92,3.67
47.236.83.196,2095,2095,false,SIN,Asia Pacific,Singapore,97,3.67
8.222.174.108,2096,2096,true,SIN,Asia Pacific,Singapore,91,3.66
8.217.251.62,8080,8080,false,HKG,Asia Pacific,Hong Kong,51,3.64
8.219.222.98,2086,2086,false,SIN,Asia Pacific,Singapore,101,3.63
8.222.187.107,2083,2083,true,SIN,Asia Pacific,Singapore,79,3.63
47.236.104.98,2082,2082,false,SIN,Asia Pacific,Singapore,78,3.57
8.217.91.121,2053,2053,true,HKG,Asia Pacific,Hong Kong,78,3.55
47.236.7.206,2086,2086,false,SIN,Asia Pacific,Singapore,81,3.55
47.245.52.165,80,80,false,NRT,Asia Pacific,Tokyo,88,3.54
8.210.151.69,2087,2087,true,HKG,Asia Pacific,Hong Kong,47,3.53
47.74.36.8,2053,2053,true,NRT,Asia Pacific,Tokyo,68,3.53
8.222.237.131,80,80,false,SIN,Asia Pacific,Singapore,80,3.52
8.222.215.228,2087,2087,true,SIN,Asia Pacific,Singapore,88,3.48
8.222.221.90,80,80,false,SIN,Asia Pacific,Singapore,88,3.47
47.76.146.1,80,80,false,HKG,Asia Pacific,Hong Kong,54,3.47
47.243.173.187,2096,2096,true,HKG,Asia Pacific,Hong Kong,53,3.47
47.74.54.145,2083,2083,true,NRT,Asia Pacific,Tokyo,90,3.46
47.74.16.255,8880,8880,false,NRT,Asia Pacific,Tokyo,89,3.42
8.222.144.219,80,80,false,SIN,Asia Pacific,Singapore,86,3.42
8.222.153.11,2096,2096,true,SIN,Asia Pacific,Singapore,84,3.38
8.219.222.98,2087,2087,true,SIN,Asia Pacific,Singapore,78,3.36
8.219.134.117,2095,2095,false,SIN,Asia Pacific,Singapore,97,3.36
47.236.144.48,2083,2083,true,SIN,Asia Pacific,Singapore,92,3.36
8.219.157.97,2083,2083,true,SIN,Asia Pacific,Singapore,85,3.32
8.222.187.107,8443,8443,true,SIN,Asia Pacific,Singapore,81,3.30
8.219.42.72,2053,2053,true,SIN,Asia Pacific,Singapore,88,3.27
47.245.90.176,2083,2083,true,SIN,Asia Pacific,Singapore,87,3.27
47.236.123.133,2082,2082,false,SIN,Asia Pacific,Singapore,96,3.27
8.219.242.208,2086,2086,false,SIN,Asia Pacific,Singapore,88,3.26
8.222.129.32,2095,2095,false,SIN,Asia Pacific,Singapore,94,3.25
8.222.224.162,8443,8443,true,SIN,Asia Pacific,Singapore,83,3.25
8.219.82.177,8080,8080,false,SIN,Asia Pacific,Singapore,82,3.23
47.245.10.123,8080,8080,false,NRT,Asia Pacific,Tokyo,83,3.21
47.74.5.150,2086,2086,false,NRT,Asia Pacific,Tokyo,61,3.19
8.222.249.98,2086,2086,false,SIN,Asia Pacific,Singapore,88,3.18
8.222.137.166,2052,2052,false,SIN,Asia Pacific,Singapore,88,3.17
8.222.147.203,2053,2053,true,SIN,Asia Pacific,Singapore,77,3.15
8.222.237.131,8880,8880,false,SIN,Asia Pacific,Singapore,93,3.15
8.222.153.11,2082,2082,false,SIN,Asia Pacific,Singapore,81,3.13
47.245.29.126,2082,2082,false,NRT,Asia Pacific,Tokyo,63,3.11
8.219.222.98,8080,8080,false,SIN,Asia Pacific,Singapore,90,3.10
8.222.164.44,8080,8080,false,SIN,Asia Pacific,Singapore,84,3.10
8.219.83.201,2052,2052,false,SIN,Asia Pacific,Singapore,83,3.10
47.236.87.246,2082,2082,false,SIN,Asia Pacific,Singapore,91,3.09
8.222.144.219,2086,2086,false,SIN,Asia Pacific,Singapore,93,3.08
47.74.54.145,2095,2095,false,NRT,Asia Pacific,Tokyo,70,3.07
8.219.198.139,2082,2082,false,SIN,Asia Pacific,Singapore,91,3.04
8.222.238.141,2052,2052,false,SIN,Asia Pacific,Singapore,81,3.03
47.91.3.112,80,80,false,NRT,Asia Pacific,Tokyo,71,3.02
8.219.194.170,2052,2052,false,SIN,Asia Pacific,Singapore,83,2.99
8.222.221.90,2082,2082,false,SIN,Asia Pacific,Singapore,82,2.99
8.222.211.124,2083,2083,true,SIN,Asia Pacific,Singapore,78,2.99
47.74.5.150,2082,2082,false,NRT,Asia Pacific,Tokyo,72,2.98
47.236.97.90,8080,8080,false,SIN,Asia Pacific,Singapore,83,2.98
47.236.119.253,8080,8080,false,SIN,Asia Pacific,Singapore,86,2.95
8.222.229.102,8443,8443,true,SIN,Asia Pacific,Singapore,88,2.87
47.236.114.23,2087,2087,true,SIN,Asia Pacific,Singapore,90,2.86
47.245.56.207,8880,8880,false,NRT,Asia Pacific,Tokyo,62,2.83
47.91.3.179,2086,2086,false,NRT,Asia Pacific,Tokyo,67,2.83
8.222.154.227,2096,2096,true,SIN,Asia Pacific,Singapore,85,2.82
8.222.212.172,8443,8443,true,SIN,Asia Pacific,Singapore,83,2.81
47.236.150.109,80,80,false,SIN,Asia Pacific,Singapore,90,2.81
47.76.32.108,8880,8880,false,HKG,Asia Pacific,Hong Kong,59,2.81
47.91.21.127,2052,2052,false,NRT,Asia Pacific,Tokyo,67,2.80
47.245.90.176,8080,8080,false,SIN,Asia Pacific,Singapore,87,2.79
47.236.11.84,2052,2052,false,SIN,Asia Pacific,Singapore,81,2.78
8.222.145.164,2086,2086,false,SIN,Asia Pacific,Singapore,83,2.76
8.219.194.170,2086,2086,false,SIN,Asia Pacific,Singapore,91,2.75
8.222.136.196,2087,2087,true,SIN,Asia Pacific,Singapore,82,2.75
8.222.221.90,80,80,false,SIN,Asia Pacific,Singapore,86,2.75
8.219.167.113,2096,2096,true,SIN,Asia Pacific,Singapore,93,2.72
8.222.167.8,2052,2052,false,SIN,Asia Pacific,Singapore,95,2.71
8.222.145.110,8080,8080,false,SIN,Asia Pacific,Singapore,91,2.71
8.219.82.177,2053,2053,true,SIN,Asia Pacific,Singapore,89,2.71
47.236.144.196,80,80,false,SIN,Asia Pacific,Singapore,88,2.69
8.222.249.98,2052,2052,false,SIN,Asia Pacific,Singapore,95,2.69
8.219.0.162,80,80,false,SIN,Asia Pacific,Singapore,77,2.69
47.74.9.174,2095,2095,false,NRT,Asia Pacific,Tokyo,62,2.69
47.236.65.177,8880,8880,false,SIN,Asia Pacific,Singapore,93,2.67
8.219.228.157,2053,2053,true,SIN,Asia Pacific,Singapore,84,2.67
47.245.37.12,2082,2082,false,NRT,Asia Pacific,Tokyo,66,2.65
8.222.129.32,2053,2053,true,SIN,Asia Pacific,Singapore,86,2.65
47.236.144.48,8080,8080,false,SIN,Asia Pacific,Singapore,95,2.62
8.222.182.10,2083,2083,true,SIN,Asia Pacific,Singapore,92,2.62
8.222.182.10,8443,8443,true,SIN,Asia Pacific,Singapore,84,2.62
8.222.174.108,2086,2086,false,SIN,Asia Pacific,Singapore,88,2.62
47.74.54.145,2053,2053,true,NRT,Asia Pacific,Tokyo,90,2.61
8.222.137.166,8443,8443,true,SIN,Asia Pacific,Singapore,88,2.59
8.222.168.234,8080,8080,false,SIN,Asia Pacific,Singapore,101,2.58
47.76.94.15,2095,2095,false,HKG,Asia Pacific,Hong Kong,61,2.58
47.91.21.127,80,80,false,NRT,Asia Pacific,Tokyo,67,2.57
8.222.167.8,2095,2095,false,SIN,Asia Pacific,Singapore,92,2.56
8.219.213.133,80,80,false,SIN,Asia Pacific,Singapore,88,2.56
8.219.121.87,2086,2086,false,SIN,Asia Pacific,Singapore,82,2.56
8.222.129.32,8880,8880,false,SIN,Asia Pacific,Singapore,84,2.54
47.236.148.174,8080,8080,false,SIN,Asia Pacific,Singapore,89,2.54
8.219.242.208,8080,8080,false,SIN,Asia Pacific,Singapore,88,2.54
8.219.200.145,8880,8880,false,SIN,Asia Pacific,Singapore,83,2.53
8.219.82.177,8443,8443,true,SIN,Asia Pacific,Singapore,86,2.52
8.222.168.234,2095,2095,false,SIN,Asia Pacific,Singapore,92,2.51
47.236.15.73,8080,8080,false,SIN,Asia Pacific,Singapore,82,2.51
8.222.212.219,8080,8080,false,SIN,Asia Pacific,Singapore,87,2.50
8.219.157.97,8080,8080,false,SIN,Asia Pacific,Singapore,92,2.49
47.236.148.174,2083,2083,true,SIN,Asia Pacific,Singapore,97,2.49
8.222.130.137,8443,8443,true,SIN,Asia Pacific,Singapore,85,2.49
47.74.54.145,2052,2052,false,NRT,Asia Pacific,Tokyo,60,2.48
8.222.180.86,2095,2095,false,SIN,Asia Pacific,Singapore,79,2.44
47.236.119.253,2086,2086,false,SIN,Asia Pacific,Singapore,83,2.44
47.236.104.11,8880,8880,false,SIN,Asia Pacific,Singapore,80,2.43
8.222.187.107,8880,8880,false,SIN,Asia Pacific,Singapore,83,2.42
8.219.198.139,2095,2095,false,SIN,Asia Pacific,Singapore,85,2.42
8.219.200.145,2096,2096,true,SIN,Asia Pacific,Singapore,83,2.42
8.219.121.24,2052,2052,false,SIN,Asia Pacific,Singapore,89,2.42
47.74.16.255,2082,2082,false,NRT,Asia Pacific,Tokyo,74,2.39
47.245.10.123,80,80,false,NRT,Asia Pacific,Tokyo,88,2.39
8.209.214.222,2082,2082,false,NRT,Asia Pacific,Tokyo,69,2.38
8.222.212.219,2083,2083,true,SIN,Asia Pacific,Singapore,88,2.37
47.245.37.98,2053,2053,true,NRT,Asia Pacific,Tokyo,90,2.36
8.219.199.220,2095,2095,false,SIN,Asia Pacific,Singapore,92,2.36
47.74.36.8,8443,8443,true,NRT,Asia Pacific,Tokyo,61,2.33
8.219.77.91,80,80,false,SIN,Asia Pacific,Singapore,87,2.33
8.222.169.182,2083,2083,true,SIN,Asia Pacific,Singapore,97,2.33
8.222.249.190,80,80,false,SIN,Asia Pacific,Singapore,93,2.32
8.222.237.131,2086,2086,false,SIN,Asia Pacific,Singapore,88,2.32
47.245.56.207,2096,2096,true,NRT,Asia Pacific,Tokyo,59,2.32
47.74.16.255,2096,2096,true,NRT,Asia Pacific,Tokyo,63,2.32
8.222.215.228,2082,2082,false,SIN,Asia Pacific,Singapore,84,2.31
8.222.137.166,80,80,false,SIN,Asia Pacific,Singapore,88,2.31
8.222.229.22,8080,8080,false,SIN,Asia Pacific,Singapore,82,2.30
8.222.224.162,2087,2087,true,SIN,Asia Pacific,Singapore,89,2.29
8.219.228.157,2082,2082,false,SIN,Asia Pacific,Singapore,85,2.29
47.245.52.165,8443,8443,true,NRT,Asia Pacific,Tokyo,69,2.28
8.222.168.24,2052,2052,false,SIN,Asia Pacific,Singapore,96,2.27
47.243.162.49,80,80,false,HKG,Asia Pacific,Hong Kong,53,2.25
8.222.212.172,2083,2083,true,SIN,Asia Pacific,Singapore,85,2.25
8.209.212.5,2083,2083,true,NRT,Asia Pacific,Tokyo,62,2.25
47.236.144.156,2053,2053,true,SIN,Asia Pacific,Singapore,86,2.25
47.236.97.90,2082,2082,false,SIN,Asia Pacific,Singapore,85,2.24
8.219.112.75,2087,2087,true,SIN,Asia Pacific,Singapore,90,2.23
8.219.200.145,2083,2083,true,SIN,Asia Pacific,Singapore,91,2.23
8.219.114.201,2082,2082,false,SIN,Asia Pacific,Singapore,93,2.21
47.74.39.194,80,80,false,NRT,Asia Pacific,Tokyo,65,2.18
47.236.94.113,2082,2082,false,SIN,Asia Pacific,Singapore,84,2.18
47.245.52.165,2086,2086,false,NRT,Asia Pacific,Tokyo,57,2.18
47.245.29.126,2083,2083,true,NRT,Asia Pacific,Tokyo,88,2.18
8.219.112.75,2082,2082,false,SIN,Asia Pacific,Singapore,83,2.15
47.236.7.206,2082,2082,false,SIN,Asia Pacific,Singapore,93,2.15
47.245.56.207,2095,2095,false,NRT,Asia Pacific,Tokyo,62,2.14
47.236.94.109,2086,2086,false,SIN,Asia Pacific,Singapore,88,2.13
8.219.121.24,2083,2083,true,SIN,Asia Pacific,Singapore,89,2.13
8.210.156.6,8080,8080,false,HKG,Asia Pacific,Hong Kong,55,2.12
8.222.168.234,2052,2052,false,SIN,Asia Pacific,Singapore,85,2.12
47.236.130.95,8080,8080,false,SIN,Asia Pacific,Singapore,90,2.12
8.219.222.98,2052,2052,false,SIN,Asia Pacific,Singapore,85,2.12
8.218.174.118,2095,2095,false,HKG,Asia Pacific,Hong Kong,58,2.11
8.219.200.145,2053,2053,true,SIN,Asia Pacific,Singapore,81,2.11
47.236.123.133,2086,2086,false,SIN,Asia Pacific,Singapore,86,2.11
47.236.114.23,2086,2086,false,SIN,Asia Pacific,Singapore,82,2.10
8.219.193.202,80,80,false,SIN,Asia Pacific,Singapore,86,2.10
8.222.187.107,2052,2052,false,SIN,Asia Pacific,Singapore,85,2.10
47.236.116.26,2095,2095,false,SIN,Asia Pacific,Singapore,94,2.09
8.219.193.202,2052,2052,false,SIN,Asia Pacific,Singapore,86,2.08
47.245.32.215,2087,2087,true,NRT,Asia Pacific,Tokyo,65,2.07
47.74.16.255,2087,2087,true,NRT,Asia Pacific,Tokyo,70,2.07
8.210.151.69,8443,8443,true,HKG,Asia Pacific,Hong Kong,58,2.07
8.222.214.231,8080,8080,false,SIN,Asia Pacific,Singapore,99,2.06
8.222.221.90,8443,8443,true,SIN,Asia Pacific,Singapore,84,2.06
47.74.9.174,80,80,false,NRT,Asia Pacific,Tokyo,60,2.06
47.236.79.77,2052,2052,false,SIN,Asia Pacific,Singapore,90,2.06
47.236.116.182,2082,2082,false,SIN,Asia Pacific,Singapore,96,2.06
47.236.116.26,80,80,false,SIN,Asia Pacific,Singapore,84,2.06
47.236.144.208,2082,2082,false,SIN,Asia Pacific,Singapore,84,2.05
8.219.126.240,2096,2096,true,SIN,Asia Pacific,Singapore,92,2.05
47.236.94.113,2053,2053,true,SIN,Asia Pacific,Singapore,84,2.04
8.222.168.24,2087,2087,true,SIN,Asia Pacific,Singapore,83,2.04
47.236.65.177,8080,8080,false,SIN,Asia Pacific,Singapore,88,2.04
8.219.122.55,2052,2052,false,SIN,Asia Pacific,Singapore,89,2.03
8.222.224.163,2087,2087,true,SIN,Asia Pacific,Singapore,86,2.03
8.222.153.11,2095,2095,false,SIN,Asia Pacific,Singapore,87,2.03
8.219.157.97,2086,2086,false,SIN,Asia Pacific,Singapore,86,2.02
8.222.136.196,2083,2083,true,SIN,Asia Pacific,Singapore,86,2.02
47.236.104.98,2087,2087,true,SIN,Asia Pacific,Singapore,88,2.02
8.219.106.156,8080,8080,false,SIN,Asia Pacific,Singapore,91,2.01
47.236.116.208,80,80,false,SIN,Asia Pacific,Singapore,89,2.00
8.219.213.133,2086,2086,false,SIN,Asia Pacific,Singapore,86,2.00
8.222.137.166,8080,8080,false,SIN,Asia Pacific,Singapore,99,1.99
47.236.82.218,2052,2052,false,SIN,Asia Pacific,Singapore,79,1.99
47.245.29.126,2052,2052,false,NRT,Asia Pacific,Tokyo,69,1.99
47.74.9.174,2087,2087,true,NRT,Asia Pacific,Tokyo,62,1.99
8.219.111.147,2053,2053,true,SIN,Asia Pacific,Singapore,99,1.99
47.236.7.206,2083,2083,true,SIN,Asia Pacific,Singapore,83,1.98
8.222.182.10,8880,8880,false,SIN,Asia Pacific,Singapore,82,1.97
47.236.145.85,2053,2053,true,SIN,Asia Pacific,Singapore,84,1.96
8.222.248.188,2087,2087,true,SIN,Asia Pacific,Singapore,83,1.95
8.222.167.147,2052,2052,false,SIN,Asia Pacific,Singapore,86,1.95
8.219.228.157,8880,8880,false,SIN,Asia Pacific,Singapore,92,1.94
47.245.37.12,2083,2083,true,NRT,Asia Pacific,Tokyo,59,1.94
8.222.215.228,2083,2083,true,SIN,Asia Pacific,Singapore,84,1.94
47.236.148.174,8880,8880,false,SIN,Asia Pacific,Singapore,86,1.92
8.222.137.166,8880,8880,false,SIN,Asia Pacific,Singapore,89,1.92
8.222.175.78,8880,8880,false,SIN,Asia Pacific,Singapore,84,1.91
47.243.173.187,8880,8880,false,HKG,Asia Pacific,Hong Kong,53,1.91
8.222.144.219,2083,2083,true,SIN,Asia Pacific,Singapore,87,1.90
8.219.213.133,8443,8443,true,SIN,Asia Pacific,Singapore,91,1.89
47.236.144.196,2087,2087,true,SIN,Asia Pacific,Singapore,87,1.89
8.219.134.117,2087,2087,true,SIN,Asia Pacific,Singapore,96,1.89
8.219.66.156,2095,2095,false,SIN,Asia Pacific,Singapore,103,1.88
8.209.255.195,8443,8443,true,HKG,Asia Pacific,Hong Kong,164,1.88
8.219.222.98,2086,2086,false,SIN,Asia Pacific,Singapore,83,1.87
47.236.117.48,2082,2082,false,SIN,Asia Pacific,Singapore,93,1.87
47.74.3.2,2095,2095,false,NRT,Asia Pacific,Tokyo,70,1.86
8.222.229.22,2096,2096,true,SIN,Asia Pacific,Singapore,83,1.86
47.245.32.215,8080,8080,false,NRT,Asia Pacific,Tokyo,71,1.85
8.219.157.97,2052,2052,false,SIN,Asia Pacific,Singapore,85,1.85
8.222.221.90,2053,2053,true,SIN,Asia Pacific,Singapore,86,1.85
47.74.13.94,2053,2053,true,NRT,Asia Pacific,Tokyo,83,1.84
8.218.243.95,8880,8880,false,HKG,Asia Pacific,Hong Kong,58,1.84
8.222.169.182,2087,2087,true,SIN,Asia Pacific,Singapore,98,1.83
47.245.56.207,2053,2053,true,NRT,Asia Pacific,Tokyo,84,1.82
47.236.7.246,2052,2052,false,SIN,Asia Pacific,Singapore,80,1.82
47.236.104.11,2096,2096,true,SIN,Asia Pacific,Singapore,81,1.81
47.236.144.48,8880,8880,false,SIN,Asia Pacific,Singapore,88,1.81
8.222.229.102,80,80,false,SIN,Asia Pacific,Singapore,91,1.81
8.222.182.10,2095,2095,false,SIN,Asia Pacific,Singapore,93,1.80
8.222.238.141,2096,2096,true,SIN,Asia Pacific,Singapore,85,1.79
8.222.137.178,8443,8443,true,SIN,Asia Pacific,Singapore,82,1.79
47.236.82.218,2096,2096,true,SIN,Asia Pacific,Singapore,88,1.78
47.76.94.15,8880,8880,false,HKG,Asia Pacific,Hong Kong,58,1.78
47.236.4.129,2052,2052,false,SIN,Asia Pacific,Singapore,87,1.77
8.219.42.72,8880,8880,false,SIN,Asia Pacific,Singapore,90,1.76
8.222.215.228,8443,8443,true,SIN,Asia Pacific,Singapore,84,1.76
8.219.77.91,2052,2052,false,SIN,Asia Pacific,Singapore,83,1.76
8.217.91.121,2096,2096,true,HKG,Asia Pacific,Hong Kong,56,1.76
8.218.3.12,80,80,false,HKG,Asia Pacific,Hong Kong,56,1.75
47.74.13.94,8880,8880,false,NRT,Asia Pacific,Tokyo,64,1.74
8.222.160.61,2052,2052,false,SIN,Asia Pacific,Singapore,91,1.74
47.236.144.48,2086,2086,false,SIN,Asia Pacific,Singapore,86,1.73
8.222.145.110,2052,2052,false,SIN,Asia Pacific,Singapore,86,1.73
8.219.152.195,8080,8080,false,SIN,Asia Pacific,Singapore,85,1.73
8.222.229.22,80,80,false,SIN,Asia Pacific,Singapore,86,1.73
47.236.130.95,2082,2082,false,SIN,Asia Pacific,Singapore,87,1.73
47.236.19.51,2083,2083,true,SIN,Asia Pacific,Singapore,87,1.72
8.222.129.245,8443,8443,true,SIN,Asia Pacific,Singapore,87,1.71
47.74.41.87,2095,2095,false,NRT,Asia Pacific,Tokyo,62,1.70
47.236.150.109,2082,2082,false,SIN,Asia Pacific,Singapore,81,1.70
8.222.249.98,8443,8443,true,SIN,Asia Pacific,Singapore,85,1.69
8.219.111.147,2095,2095,false,SIN,Asia Pacific,Singapore,93,1.68
47.245.56.207,2083,2083,true,NRT,Asia Pacific,Tokyo,63,1.68
8.219.121.24,2086,2086,false,SIN,Asia Pacific,Singapore,89,1.68
47.236.15.73,2052,2052,false,SIN,Asia Pacific,Singapore,79,1.67
8.217.251.62,2082,2082,false,HKG,Asia Pacific,Hong Kong,56,1.67
8.222.224.163,8080,8080,false,SIN,Asia Pacific,Singapore,87,1.67
8.222.214.231,80,80,false,SIN,Asia Pacific,Singapore,89,1.66
8.222.154.227,8080,8080,false,SIN,Asia Pacific,Singapore,96,1.66
47.236.104.98,2095,2095,false,SIN,Asia Pacific,Singapore,86,1.65
8.222.168.234,2082,2082,false,SIN,Asia Pacific,Singapore,95,1.65
8.222.155.242,2052,2052,false,SIN,Asia Pacific,Singapore,87,1.65
8.219.0.162,8080,8080,false,SIN,Asia Pacific,Singapore,89,1.65
8.222.130.137,2083,2083,true,SIN,Asia Pacific,Singapore,84,1.65
8.222.153.11,2086,2086,false,SIN,Asia Pacific,Singapore,83,1.64
8.219.194.170,80,80,false,SIN,Asia Pacific,Singapore,84,1.63
47.236.97.90,2087,2087,true,SIN,Asia Pacific,Singapore,90,1.63
8.219.122.55,2052,2052,false,SIN,Asia Pacific,Singapore,96,1.63
47.245.56.207,8443,8443,true,NRT,Asia Pacific,Tokyo,58,1.62
8.218.18.132,80,80,false,HKG,Asia Pacific,Hong Kong,57,1.62
8.222.144.219,2096,2096,true,SIN,Asia Pacific,Singapore,92,1.62
8.218.22.210,2083,2083,true,HKG,Asia Pacific,Hong Kong,53,1.62
8.219.193.202,2087,2087,true,SIN,Asia Pacific,Singapore,83,1.61
47.236.7.246,2096,2096,true,SIN,Asia Pacific,Singapore,86,1.61
8.209.214.222,2052,2052,false,NRT,Asia Pacific,Tokyo,66,1.60
47.245.52.165,2082,2082,false,NRT,Asia Pacific,Tokyo,67,1.58
8.219.209.14,2096,2096,true,SIN,Asia Pacific,Singapore,89,1.58
8.219.42.72,80,80,false,SIN,Asia Pacific,Singapore,88,1.57
8.222.145.110,2053,2053,true,SIN,Asia Pacific,Singapore,88,1.57
8.219.121.87,8080,8080,false,SIN,Asia Pacific,Singapore,81,1.57
8.222.167.8,8880,8880,false,SIN,Asia Pacific,Singapore,89,1.56
8.219.124.227,2087,2087,true,SIN,Asia Pacific,Singapore,82,1.56
8.219.228.157,8080,8080,false,SIN,Asia Pacific,Singapore,89,1.56
8.219.194.170,80,80,false,SIN,Asia Pacific,Singapore,88,1.56
47.74.47.225,8880,8880,false,NRT,Asia Pacific,Tokyo,68,1.56
47.236.11.84,80,80,false,SIN,Asia Pacific,Singapore,86,1.55
47.245.37.12,8443,8443,true,NRT,Asia Pacific,Tokyo,70,1.54
8.222.229.102,2086,2086,false,SIN,Asia Pacific,Singapore,94,1.54
8.219.152.195,2082,2082,false,SIN,Asia Pacific,Singapore,98,1.53
47.236.94.109,80,80,false,SIN,Asia Pacific,Singapore,90,1.53
8.222.211.124,2087,2087,true,SIN,Asia Pacific,Singapore,80,1.53
47.236.104.98,2096,2096,true,SIN,Asia Pacific,Singapore,87,1.53
8.219.193.202,8080,8080,false,SIN,Asia Pacific,Singapore,85,1.53
8.222.214.231,2052,2052,false,SIN,Asia Pacific,Singapore,83,1.53
8.219.213.133,2087,2087,true,SIN,Asia Pacific,Singapore,88,1.52
8.217.251.62,8880,8880,false,HKG,Asia Pacific,Hong Kong,58,1.52
