IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.49.34,2095,2095,false,HKG,Asia Pacific,Hong Kong,56,8.74
47.236.79.77,2086,2086,false,SIN,Asia Pacific,Singapore,85,8.05
8.222.249.190,8880,8880,false,SIN,Asia Pacific,Singapore,91,7.42
8.222.159.252,2087,2087,true,SIN,Asia Pacific,Singapore,91,7.31
8.219.106.156,80,80,false,SIN,Asia Pacific,Singapore,91,7.23
8.217.251.62,80,80,false,HKG,Asia Pacific,Hong Kong,85,7.20
47.245.84.155,8443,8443,true,SIN,Asia Pacific,Singapore,85,7.13
8.222.160.61,2095,2095,false,SIN,Asia Pacific,Singapore,86,7.09
47.76.94.15,2052,2052,false,HKG,Asia Pacific,Hong Kong,55,7.02
8.219.124.227,2086,2086,false,SIN,Asia Pacific,Singapore,82,7.02
47.236.114.23,2095,2095,false,SIN,Asia Pacific,Singapore,79,6.74
47.245.29.126,2095,2095,false,NRT,Asia Pacific,Tokyo,63,6.54
47.74.47.225,8443,8443,true,NRT,Asia Pacific,Tokyo,65,6.37
47.236.116.26,8080,8080,false,SIN,Asia Pacific,Singapore,104,6.03
47.91.2.5,8080,8080,false,NRT,Asia Pacific,Tokyo,94,5.73
8.222.180.86,2083,2083,true,SIN,Asia Pacific,Singapore,85,5.54
8.218.3.12,80,80,false,HKG,Asia Pacific,Hong Kong,54,5.51
47.236.116.26,2083,2083,true,SIN,Asia Pacific,Singapore,92,5.50
47.245.37.12,2086,2086,false,NRT,Asia Pacific,Tokyo,64,5.47
8.219.213.133,2095,2095,false,SIN,Asia Pacific,Singapore,90,5.42
47.245.32.215,8880,8880,false,NRT,Asia Pacific,Tokyo,68,5.34
8.222.131.102,2053,2053,true,SIN,Asia Pacific,Singapore,85,5.27
47.245.37.12,2095,2095,false,NRT,Asia Pacific,Tokyo,61,5.25
8.222.150.197,2052,2052,false,SIN,Asia Pacific,Singapore,81,5.24
8.222.159.252,8080,8080,false,SIN,Asia Pacific,Singapore,88,5.18
47.236.114.23,2096,2096,true,SIN,Asia Pacific,Singapore,79,5.18
8.218.136.25,80,80,false,HKG,Asia Pacific,Hong Kong,59,5.17
47.91.2.5,2083,2083,true,NRT,Asia Pacific,Tokyo,95,5.16
47.245.37.98,8080,8080,false,NRT,Asia Pacific,Tokyo,65,5.11
8.219.228.157,8880,8880,false,SIN,Asia Pacific,Singapore,88,5.08
8.222.212.219,2095,2095,false,SIN,Asia Pacific,Singapore,88,5.08
8.219.213.133,2082,2082,false,SIN,Asia Pacific,Singapore,89,4.88
8.219.228.157,2096,2096,true,SIN,Asia Pacific,Singapore,81,4.88
47.91.3.112,2052,2052,false,NRT,Asia Pacific,Tokyo,69,4.82
